상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),카테고리,Dictionary
가공식품,가공부가상품,가공선물세트,가공선물세트,162950,백설 선물세트(특선2호 2.12Kg/EA),8750142,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,166246,CJ제일제당 명절선물세트(스팸1S호 4.08Kg/EA),13387536,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,209570,백설 선물세트(비비고 토종김5호 72g/EA),7306902,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232375,백설 선물세트(유러피안B호 특판용 1.392Kg/EA),3375678,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232381,CJ제일제당 명절선물세트(스팸1호 특판용 4.08Kg/EA),240772,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232382,CJ제일제당 명절선물세트(스팸3호 특판용 3.24Kg/EA),2521966,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232383,CJ제일제당 명절선물세트(스팸6호 특판용 2.4Kg/EA),138468793,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232385,백설 명절선물세트(스팸8호 특판용 1.8Kg/EA),150556555,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232387,CJ제일제당 명절선물세트(스팸고급유4호 특판용 2.12Kg/EA),4363382,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232389,CJ제일제당 명절선물세트(스팸고급유7호 특판용 1.52Kg/EA),3468273,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232390,백설 선물세트(현명한선택3S호(구.C호) 특판용 3.13Kg/EA),8810167,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232394,CJ제일제당 선물세트(현명한선택_스페셜2호 특판용 3.024Kg/EA),66191481,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232400,백설 선물세트(현명한선택2S호(구.B호) 특판용 2.094Kg/EA),25106638,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,232468,백설 선물세트(프리미엄17호 특판용 2.8Kg/EA),5661919,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,248185,한뿌리 명절선물세트(흑삼달임진액_40ml*30입 1.2Kg/EA),496597,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,248447,백설 선물세트(유러피안_스팸2호 특판용 3.37Kg/EA),5199981,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,248452,백설 명절선물세트(스팸스위트1호 특판용 3.1Kg/EA),16569963,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,248464,CJ제일제당 선물세트(현명한선택Q-5호 특판용 2.24Kg/EA),85500,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,248468,한뿌리 선물세트(홍삼골드_32입 특판용 1.6Kg/EA),4798312,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,249387,백설 명절선물세트(스팸12호 특판용 1.6Kg/EA),14043694,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,249388,백설 명절선물세트(유러피안M호 특판용 928g/EA),9904331,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,249391,백설 명절선물세트(건강을생각한_리그난참기름A호 특판용 982g/EA),326000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,249393,백설 명절선물세트(스팸고급유108호 특판용 1.66Kg/EA),29500408,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,254649,백설 선물세트(스팸12호 특판용 400g/EA),2384654,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,254650,한뿌리 선물세트(홍삼골드_40ml*16입 특판용 1Kg/EA),8030931,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267790,백설 선물세트(카놀라유3호 특판용 1.3Kg/EA),1803935,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267791,백설 선물세트(프리미엄14호 특판용 1.8Kg/EA),5313280,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267795,백설 선물세트(고소함가득참기름A호 특판용 1.34Kg/EA),992946,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267798,백설 선물세트(현명한선택_8S호(구.H호) 특판용 1.65Kg/EA),26058371,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267807,CJ제일제당 선물세트(최고의선택_프리미엄호 특판용 4.24Kg/EA),9045000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267818,CJ제일제당 선물세트(현명한선택_블랙라벨 특판용 4.097Kg/EA),331300,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,267823,백설 선물세트(현명한선택_스페셜블루(구.스페셜3호) 특판용 2.359Kg/EA),28686686,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,268962,더건강한 명절선물세트(캔햄8호 1.8Kg/EA),72191,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,269002,비비고 가공선물세트(직화구이1호 84g/EA),9838113,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286372,백설 명절선물세트(진한참기름2호 특판용 982g/EA),1576927,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286373,백설 명절선물세트(스팸20호 특판용 4Kg/EA),35991345,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286374,백설 명절선물세트(스팸21호 특판용 3.2Kg/EA),25628028,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286376,백설 명절선물세트(제일6호 특판용 1.5Kg/EA),26338485,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286379,백설 명절선물세트(현명한선택10S호(구.J호) 특판용 2.15Kg/EA),29658155,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286380,백설 명절선물세트(현명한선택8S호(구.H호) 특판용 1.96Kg/EA),44262316,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286382,백설 선물세트(현명한선택_스패셜골드(구.스페셜1호) 특판용 4.01Kg/EA),10154535,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,286384,백설 선물세트(현명한선택5S호(구.E호) 특판용 3.4Kg/EA),40681901,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,326197,CJ제일제당 명절선물세트(스팸8호 1.8Kg/EA),337589893,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,326299,CJ제일제당 명절선물세트(스팸고급유7호 1.52Kg/EA),12059332,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,326303,CJ제일제당 선물세트(명절_특별한선택_3호 2.1Kg/EA),1451311,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,327090,백설 선물세트(현명한선택6S호(구.F호) 특판용 3.1Kg/EA),63310235,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,327093,백설 선물세트(현명한선택9S호(구.I호) 특판용 1.72Kg/EA),33057228,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,327097,비비고 선물세트(토종김8S호 특판용 600g/EA),3231651,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,327103,비비고 선물세트(토종김3호 특판용 1Kg/EA),6477445,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,327166,백설 한뿌리선물세트(인삼대보40ml*18입 720g/EA),183636,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,329807,홍삼진CK스틱(120g/EA),54545,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332676,백설 선물세트(현명한선택7S호(구.G호) 특판용 3.4Kg/EA),34286966,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332680,한뿌리 선물세트(흑삼데일리스틱30입 특판용 249g/EA),2150694,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332696,비비고 선물세트(직화구이1호 특판용 384g/EA),17642485,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332697,한뿌리 선물세트(홍삼식스플러스_30입 특판용 1.2Kg/EA),1426419,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332699,백설 명절선물세트(진한참기름특호 특판용 1.8Kg/EA),430265,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332702,백설 명절선물세트(현명한선택C호 특판용 4.4Kg/EA),47758199,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332703,한뿌리 선물세트(인삼대보40ml*18입 특판용 720g/EA),1950953,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332704,비비고 선물세트(토종김5호 특판용 372g/EA),436716,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332706,한뿌리 선물세트(홍삼대보24입 특판용 960g/EA),3674139,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332710,한뿌리 선물세트(흑삼달임액30입 특판용 1.2Kg/EA),4029464,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,332711,한뿌리 선물세트(흑삼대보 특판용 960g/EA),2844949,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,341358,헬씨키트14(비비고전복죽280g+비비고김치볶음80g 대체식키트용 360g/EA),53920,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344712,한뿌리 선물세트(홍삼골드_세로형_40ml*32입 1.28Kg/EA),71833,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344714,한뿌리 선물세트(흑삼대보_24입 960g/EA),167647,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344715,한뿌리 선물세트(홍삼대보_24입 960g/EA),11690514,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344726,한뿌리 선물세트(홍삼_식스플러스 1.2Kg/EA),430078,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344729,스팸 선물세트(12호 1.6Kg/EA),10124249,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344734,백설 선물세트(프리미엄_14호 1.383Kg/EA),31658092,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344735,백설 선물세트(참기름_A호_고소함가득 982g/EA),3779038,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344736,백설 선물세트(진한참기름_특호 1.38Kg/EA),34182,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344737,백설 선물세트(특별한선택_1호 2.82Kg/EA),4292983,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344738,백설 선물세트(특별한선택_12호 2.16Kg/EA),3060286,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344744,비비고 선물세트(토종김3S호 120g/EA),121631,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344745,비비고 선물세트(토종김4S호 1.06Kg/EA),314045,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,344746,비비고 선물세트(토종김8S호 250g/EA),5017081,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,345402,헬씨키트17(따끈한밥200g+크레잇소고기무국250g 대체식키트용 450g/EA),100800,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,345403,헬씨키트18(따끈한밥200g+크레잇육개장250g 대체식키트용 450g/EA),67200,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351765,헬씨키트21(따끈한밥200g+사골곰탕250g+볶음김치80g 대체식키트용 530g/EA),9006186,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351766,헬씨키트22(따끈한밥200g+설렁탕250g+볶음김치80g 대체식키트용 530g/EA),11335220,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351767,헬씨키트23(따끈한밥200g+소고기무국250g+볶음김치80g 대체식키트용 530g/EA),16461800,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351768,헬씨키트24(따끈한밥200g+육개장250g+볶음김치80g 대체식키트용 530g/EA),1979910,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351769,헬씨키트25(따끈한밥200g+미역국250g+볶음김치80g 대체식키트용 530g/EA),15037350,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351770,헬씨키트26(따끈한밥200g+돼지불고기덮밥소스180g+사골곰탕250 대체식키트용 630g/EA),1784320,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351771,헬씨키트27(따끈한밥200g+제육덮밥소스180g+사골곰탕250g 대체식키트용 630g/EA),1758720,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,351773,헬씨키트29(따끈한밥200g+된장찌개250g+볶음김치80g 대체식키트용 530g/EA),874530,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,370501,백설 선물세트(진한참기름_특호 1.5Kg/EA),234093,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,370502,백설 선물세트(진한참기름_2호 800g/EA),2173923,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,370503,백설 선물세트(카놀라유_3호 920g/EA),159264,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,370930,현명한선택8S호(명랑시대용 1.96Kg/EA),1565900,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,371281,백설 명절선물세트(현명한선택4S호 특판용 3.83Kg/EA),248214641,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,371283,백설 명절선물세트(압착올리브유2호 특판용 1.5Kg/EA),144000,0,
가공식품,가공부가상품,가공선물세트,가공선물세트,371285,백설 명절선물세트(프리미엄23호 특판용 2Kg/EA),1266562,0,
